file,Feature,model,class,acc_sd,f1-macro_sd,auc_sd,time-s_sd
kaggle_noNNnoSW,char_tfidf,lgb,JP,0.7379870228,0.7250970717999999,0.8015705213999998,86.41203041
kaggle_noNNnoSW,char_tfidf,lgr,JP,0.6630762908000001,0.6541041058,0.7190843034000001,2.2075346472
kaggle_noNNnoSW,char_tfidf,rf,JP,0.6925998306,0.6126690370000001,0.7613802842,2.2331536294
kaggle_noNNnoSW,char_tfidf,svc,JP,0.6964211514,0.6879495367999999,0.7561222519999999,372.96375658
kaggle_noNNnoSW,combo,cnb,JP,0.6636578765360612,0.6558684558534815,0.7150166182527536,0.1485112190246582
kaggle_noNNnoSW,combo,lgb,JP,0.7401867668189325,0.7273540885267388,0.8058856209661702,221.23585758209234
kaggle_noNNnoSW,combo,lgr,JP,0.6499925609599175,0.6387004048301582,0.6968152388712218,19.61508688926697
kaggle_noNNnoSW,combo,rf,JP,0.7174934053914945,0.6641758192377678,0.7823723843717605,3.456402826309204
kaggle_noNNnoSW,combo,svc,JP,0.7025572202920929,0.6937087592148614,0.762680573963373,1436.9332812309265
kaggle_noNNnoSW,word_tf,cnb,JP,0.6674793315318792,0.6591583338814885,0.7235916453260646,0.03990063667297363
kaggle_noNNnoSW,word_tf,lgb,JP,0.7343985904694503,0.7224005363270777,0.7976337478631103,14.620534896850586
kaggle_noNNnoSW,word_tf,lgr,JP,0.6684003651161295,0.6595272481516923,0.723025915155979,2.2896336555480956
kaggle_noNNnoSW,word_tf,rf,JP,0.6927167106307234,0.6183996112969343,0.7640410736429809,1.1577393531799316
kaggle_noNNnoSW,word_tf,svc,JP,0.6994314160715435,0.6897990634400231,0.759570684345651,359.06434164047243
kaggle_noNNnoSW,word_tfidf,cnb,JP,0.6606466068000001,0.6537357293999999,0.7145067196,0.0440822124
kaggle_noNNnoSW,word_tfidf,lgb,JP,0.7269889044,0.7142248636,0.7905589754,93.92519550000002
kaggle_noNNnoSW,word_tfidf,lgr,JP,0.6650456260000001,0.6553793922000001,0.7227470022,2.667692089
kaggle_noNNnoSW,word_tfidf,rf,JP,0.6877376472,0.606245848,0.7591957554000001,2.363202143
kaggle_noNNnoSW,word_tfidf,svc,JP,0.6971163332,0.6885929764000001,0.7555256668,373.31565516
kaggle_noSW,LIWC,cnb,JP,0.5620011152,0.557056684,0.5875894562,0.015757608200000002
kaggle_noSW,LIWC,lgb,JP,0.576590949,0.5639731424,0.5945426666,3.3541524885999996
kaggle_noSW,LIWC,lgr,JP,0.5812208470000001,0.5744426416,0.60927734,0.11575078959999999
kaggle_noSW,LIWC,rf,JP,0.6084295046000001,0.4663763784,0.5788061934,0.8948936938
kaggle_noSW,LIWC,svc,JP,0.580295055,0.5741009286,0.6096902338,25.119830084000004
kaggle_noSW,char_tf,cnb,JP,0.6660898394775784,0.6580018554491623,0.7216474267454162,0.04648594856262207
kaggle_noSW,char_tf,lgb,JP,0.811161240858693,0.8022396216455954,0.8826930139819368,16.25717191696167
kaggle_noSW,char_tf,lgr,JP,0.7311539626627206,0.7221930920999962,0.8003010684850194,2.686879539489746
kaggle_noSW,char_tf,rf,JP,0.7543122305861159,0.7094763592685926,0.8456516415327993,1.2525484085083007
kaggle_noSW,char_tf,svc,JP,0.7506063152759012,0.7427071792314563,0.8229359341852909,359.97237558364867
kaggle_noSW,char_tfidf,cnb,JP,0.66597363,0.6586449884000001,0.720071884,0.0410900114
kaggle_noSW,char_tfidf,lgb,JP,0.8080344314,0.7988820362,0.8839697506,103.660242412
kaggle_noSW,char_tfidf,lgr,JP,0.7318494122,0.7228999359999999,0.8004953593999999,2.6294919966
kaggle_noSW,char_tfidf,rf,JP,0.7601008090000001,0.7185388926,0.8531875252000001,2.2856720448
kaggle_noSW,char_tfidf,svc,JP,0.7541955516000001,0.7465751602000001,0.8251316496,344.49348644
kaggle_noSW,combo,cnb,JP,0.6892467670333912,0.6818117953996421,0.7527478764538487,0.14720625877380372
kaggle_noSW,combo,lgb,JP,0.8093084507495336,0.799808555729198,0.8820515259453204,263.5453444004059
kaggle_noSW,combo,lgr,JP,0.7159880385596946,0.7055134109269318,0.78111629277433,17.58754668235779
