,file,cv_split#,class,Feature,model,CM,Acc,f1-macro,auc,time-s
28,kaggle_noNNnoSW,1,JP,char_tf,svc,"[[763 281]
 [235 449]]",0.7013888888888888,0.6911921778437813,0.7583126078286393,362.59073090553284
29,kaggle_noNNnoSW,1,JP,char_tf,lgb,"[[821 223]
 [239 445]]",0.7326388888888888,0.7193511373096046,0.8037392731509488,10.08019208908081
30,kaggle_noNNnoSW,2,JP,char_tf,cnb,"[[691 353]
 [236 448]]",0.6591435185185185,0.652266961856003,0.6982772624409044,0.040891408920288086
31,kaggle_noNNnoSW,2,JP,char_tf,rf,"[[985  59]
 [454 230]]",0.703125,0.6330798660076599,0.7838140810199188,1.1819493770599363
32,kaggle_noNNnoSW,2,JP,char_tf,lgr,"[[712 332]
 [238 446]]",0.6701388888888888,0.6621327731484468,0.728126190316148,2.1885769367218018
33,kaggle_noNNnoSW,2,JP,char_tf,svc,"[[719 325]
 [200 484]]",0.6961805555555556,0.6904556123516127,0.7649818791871121,362.91305232048035
34,kaggle_noNNnoSW,2,JP,char_tf,lgb,"[[818 226]
 [224 460]]",0.7395833333333334,0.7279044866366671,0.8167627321816674,14.531812906265259
35,kaggle_noNNnoSW,3,JP,char_tf,cnb,"[[718 326]
 [264 419]]",0.6583671105964101,0.6478102593455941,0.7027131261114197,0.0438833236694336
36,kaggle_noNNnoSW,3,JP,char_tf,rf,"[[990  54]
 [493 190]]",0.6832657788071801,0.5967311397212158,0.7658221279794462,1.181387424468994
37,kaggle_noNNnoSW,3,JP,char_tf,lgr,"[[724 320]
 [267 416]]",0.6601042269832079,0.6489381559149001,0.7047929183285371,2.094317674636841
38,kaggle_noNNnoSW,3,JP,char_tf,svc,"[[760 284]
 [253 430]]",0.6890561667631732,0.6772725358771088,0.7472989347200485,362.5722360610962
39,kaggle_noNNnoSW,3,JP,char_tf,lgb,"[[818 226]
 [231 452]]",0.7353792704111175,0.7229353083105119,0.8047828208882382,11.739259719848633
40,kaggle_noNNnoSW,4,JP,char_tf,cnb,"[[685 359]
 [228 455]]",0.6601042269832079,0.6539667650750317,0.7086860425326624,0.038895368576049805
41,kaggle_noNNnoSW,4,JP,char_tf,rf,"[[997  47]
 [491 192]]",0.6884771279675739,0.6020028237261534,0.7598421994468847,1.167881965637207
42,kaggle_noNNnoSW,4,JP,char_tf,lgr,"[[719 325]
 [241 442]]",0.6722640416907932,0.6636100213366372,0.7244394518211854,2.3500771522521973
43,kaggle_noNNnoSW,4,JP,char_tf,svc,"[[747 297]
 [222 461]]",0.6994788650839606,0.6910046529618548,0.7544176301307619,360.42079043388367
44,kaggle_noNNnoSW,4,JP,char_tf,lgb,"[[826 218]
 [235 448]]",0.7376954255935148,0.7244969001406867,0.8031658280181531,16.500543117523193
45,kaggle_noNNnoSW,5,JP,char_tf,cnb,"[[704 340]
 [239 444]]",0.6647365373480023,0.6569614560080195,0.7174946567711752,0.04587554931640625
46,kaggle_noNNnoSW,5,JP,char_tf,rf,"[[980  64]
 [470 213]]",0.690793283149971,0.6148180633520449,0.752308387046106,1.142402172088623
47,kaggle_noNNnoSW,5,JP,char_tf,lgr,"[[705 339]
 [259 424]]",0.6537348002316156,0.6443183007940575,0.7089721366744641,2.026938438415528
48,kaggle_noNNnoSW,5,JP,char_tf,svc,"[[748 296]
 [236 447]]",0.6919513607411697,0.6823005275373384,0.754274583059861,360.9258031845093
49,kaggle_noNNnoSW,5,JP,char_tf,lgb,"[[792 252]
 [229 454]]",0.7214823393167342,0.7103889606507023,0.789071484267627,18.900153398513797
50,kaggle_noNNnoSW,1,JP,word_tf,cnb,"[[711 333]
 [257 427]]",0.6585648148148148,0.6490860928611158,0.7158449284129864,0.0429222583770752
51,kaggle_noNNnoSW,1,JP,word_tf,rf,"[[982  62]
 [466 218]]",0.6944444444444444,0.6202020740227651,0.7678680457529521,1.1629281044006348
52,kaggle_noNNnoSW,1,JP,word_tf,lgr,"[[728 316]
 [249 435]]",0.6730324074074074,0.6633536025047111,0.7247835024982635,2.312747001647949
53,kaggle_noNNnoSW,1,JP,word_tf,svc,"[[773 271]
 [228 456]]",0.7112268518518519,0.7011701631782415,0.7566580683829626,357.7574896812439
